Model,MAE,RMSE,MAPE,MAPE_Aktual_Min_10,WMAPE
Single Moving Average,493.95102040816334,5210.299823981563,590.9609191372834,186.33413944767412,181.30716506236192
Decision Tree Regression,281.74824575342126,4524.082147814835,119.70916098808983,110.25052758177497,103.41708709627808
