Periode,Kode Item,Nama Item,Satuan Standar,Aktual,Lag_1,Lag_2,Lag_3,Lag_6,Lag_12,Rolling_Mean_3,Rolling_Max_3,Rolling_Min_3,Rolling_Mean_6,Rolling_Mean_12,Prediksi_SMA,Prediksi_Decision_Tree,Error_SMA,Error_Decision_Tree,Error_Persen_SMA,Error_Persen_Decision_Tree,Selisih_SMA,Selisih_Decision_Tree
2025-12,CEFIX100,Cefixime Trihydrate 100mg Tss Bernofarm,BOX,1.0,2000.0,0.0,0.0,15.0,3.0,666.6666666666666,2000.0,0.0,335.8333333333333,209.8333333333333,666.6666666666666,0.0,665.6666666666666,1.0,66566.66666666666,100.0,665.6666666666666,-1.0
2025-09,CIFLX,Tab CIPROFLOXACIN TAB,BOX,12.0,804.0,0.0,1000.0,0.0,0.0,601.3333333333334,1000.0,0.0,301.0,150.5,601.3333333333334,0.0,589.3333333333334,12.0,4911.111111111111,100.0,589.3333333333334,-12.0
2025-09,DEXAMETHMUL,Dexametasone 0.5 '200tab,BOX,10.0,1000.0,0.0,0.0,1.0,0.0,333.3333333333333,1000.0,0.0,167.16666666666666,83.58333333333333,333.3333333333333,285.6428571428572,323.3333333333333,275.6428571428572,3233.333333333333,2756.4285714285725,323.3333333333333,275.6428571428572
2025-11,615,Paracetamol 500 mg Kaplet,TAB,100.0,0.0,0.0,6500.0,0.0,0.0,2166.6666666666665,6500.0,0.0,17833.333333333332,8916.666666666666,2166.6666666666665,400.0,2066.6666666666665,300.0,2066.6666666666665,300.0,2066.6666666666665,300.0
2025-09,268,Cefadroxil Monohydrate 500mg Kapsul Bernofarm,BOX,30.0,621.0,0.0,1000.0,3.0,0.0,540.3333333333334,1000.0,0.0,270.6666666666667,135.33333333333334,540.3333333333334,0.0,510.33333333333337,30.0,1701.1111111111113,100.0,510.33333333333337,-30.0
2025-09,METHYL125,Inj METHYLPREDNISOLON 125MG INJ,BOX,50.0,1700.0,0.0,1000.0,1.0,0.0,900.0,1700.0,0.0,450.6666666666667,225.3333333333333,900.0,0.0,850.0,50.0,1700.0,100.0,850.0,-50.0
2025-12,268,Cefadroxil Monohydrate 500mg Kapsul Bernofarm,BOX,2.0,100.0,0.0,0.0,30.0,3.0,33.333333333333336,100.0,0.0,21.666666666666668,146.16666666666666,33.333333333333336,5.052818991097923,31.333333333333336,3.052818991097923,1566.6666666666667,152.64094955489617,31.333333333333336,3.052818991097923
2025-09,AMD,5mg Amlodipine 5mg,BOX,30.0,1500.0,0.0,0.0,5000.0,1.0,500.0,1500.0,0.0,1083.3333333333333,541.9166666666666,500.0,285.6428571428572,470.0,255.6428571428572,1566.6666666666665,852.1428571428575,470.0,255.64285714285722
2025-06,MK08-503B,STERILE SAFETY LANCET MK08-503B,BOX,2.0,0.0,0.0,75.0,65.0,0.0,25.0,75.0,0.0,30.83333333333333,24.58333333333333,25.0,5.052818991097923,23.0,3.052818991097923,1150.0,152.64094955489617,23.0,3.052818991097923
2025-09,CEFIX100,Cefixime Trihydrate 100mg Tss Bernofarm,BOX,15.0,0.0,0.0,500.0,3.0,0.0,166.66666666666666,500.0,0.0,83.83333333333333,41.91666666666666,166.66666666666666,5.052818991097923,151.66666666666666,9.947181008902078,1011.1111111111111,66.31454005934718,151.66666666666666,-9.947181008902078
