Kode Item,Nama Item,Satuan,Jumlah,Total Item
CANDS8,Candesartan 8mg Tab,BOX,15,5239500.0
CANDS8,Candesartan 8mg Tab,TAB,7000,3410000.0
CEFIX100,Cefixime Trihydrate 100mg Tss Bernofarm,BOX,19,2275344.14
CEFIX100,Cefixime Trihydrate 100mg Tss Bernofarm,TAB,2500,5183125.0
CEFO1INJ,Cefotaxime 1gr Serb Inj,AMPUL,100,2979800.0
CEFO1INJ,Cefotaxime 1gr Serb Inj,BOX,50,6727500.0
CEFRXO-INJ,Ceftriaxone Inj - Bernofarm,AMPUL,100,2950000.0
CEFRXO-INJ,Ceftriaxone Inj - Bernofarm,BOX,100,16445000.0
CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,BOX,101,6195000.0
CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,TAB,2100,2725275.0
CIFLX,Tab CIPROFLOXACIN TAB,BOX,15,867864.8500000001
CIFLX,Tab CIPROFLOXACIN TAB,TAB,1804,1254840.0
CITCL250,Inj Citicoline 250mg/2ml Inj Bernofarm,AMPUL,50,879500.0
CITCL250,Inj Citicoline 250mg/2ml Inj Bernofarm,BOX,15,1341000.0
CVPLX-T,Caviplex Tab,BOX,10,851570.5
CVPLX-T,Caviplex Tab,TAB,1000,2355000.0
DCAPT1007T00,"CAPTOPRILl 12,5 MG TAB 5",BOX,2,37518.0
DCAPT1007T00,"CAPTOPRILl 12,5 MG TAB 5",TAB,500,418500.0
DEXAMETHMUL,Dexametasone 0.5 '200tab,BOX,13,148352.34
DEXAMETHMUL,Dexametasone 0.5 '200tab,TAB,10000,5040000.0
DMETF1033T00,Metformin 500mg Tab@200's (HJ) 1,BOX,10,393690.0
DMETF1033T00,Metformin 500mg Tab@200's (HJ) 1,TAB,1000,694000.0
DNIFE1028T005,Nifedipine 10 mg Tab,BOX,3,76455.0
DNIFE1028T005,Nifedipine 10 mg Tab,TAB,1400,980000.0
GBP300,GABAPENTIN 300 MG,BOX,50,2100000.0
GBP300,GABAPENTIN 300 MG,TAB,600,386400.0
GLIMP1,GLIMEPIRIDE 1 MG,BOX,1,30302.7
GLIMP1,GLIMEPIRIDE 1 MG,TAB,500,192500.0
GTMC-SKKF,Gentamicin Cream SK - KF,BOX,2,125800.0
GTMC-SKKF,Gentamicin Cream SK - KF,TUBE,1300,10304500.0
IBPR400,Tab Ibuprofen 400mg Tab,BOX,11,435986.48
IBPR400,Tab Ibuprofen 400mg Tab,TAB,734,587200.0
ISD-02,INFUS SET DEWASA,BOX,48,13124324.0
ISD-02,INFUS SET DEWASA,PCS,1000,14852000.0
KETLAC,Tab Ketorolac Tab 10mg Bernofarm,BOX,2,65266.66
KETLAC,Tab Ketorolac Tab 10mg Bernofarm,TAB,540,507141.0
KETLAC30,- Inj Ketorolac 30mg/1ml Inj,AMPUL,469,2760500.0
KETLAC30,- Inj Ketorolac 30mg/1ml Inj,BOX,50,2975000.0
LEVXC500,Levofloxacin 500mg Tab - Berno,BOX,10,868000.0
LEVXC500,Levofloxacin 500mg Tab - Berno,TAB,1000,900000.0
LIDC2,- Inj Lidocain HCL Inj 2% 2ML - Berno,AMPUL,100,450000.0
LIDC2,- Inj Lidocain HCL Inj 2% 2ML - Berno,BOX,1,141550.0
LORAT-TABTRFA,LORATADINE TAB - TRIFA,BOX,1,22522.52
LORAT-TABTRFA,LORATADINE TAB - TRIFA,TAB,300,195000.0
MECBN,- Inj Mecobalamin Inj - Berno,AMPUL,100,765900.0
MECBN,- Inj Mecobalamin Inj - Berno,BOX,20,2023000.0
MEFEAC500,Mefenamat Acid 500mg Tab Triman,BOX,3,92027.03
MEFEAC500,Mefenamat Acid 500mg Tab Triman,TAB,2240,1401150.0
METF500,METFORMIN 500 mg Tab Bernofarm,BOX,50,1395000.0
METF500,METFORMIN 500 mg Tab Bernofarm,TAB,11900,2933945.0
METHYL125,Inj METHYLPREDNISOLON 125MG INJ,BOX,74,2142374.7
METHYL125,Inj METHYLPREDNISOLON 125MG INJ,TAB,2700,904004.0
METHYL4,Methylprednisolon 4mg,BOX,30,979200.0
METHYL4,Methylprednisolon 4mg,TAB,500,250000.0
METHYL4D,Methylprednisolone 4 MG DEXA,BOX,2,45045.04
METHYL4D,Methylprednisolone 4 MG DEXA,TAB,500,435000.0
METR500,Metronidazole 500mg Tab,BOX,11,325500.0
METR500,Metronidazole 500mg Tab,TAB,1500,676490.0
NKS,16X16 KASSA STERIL 16X16,PAK,2060,14617120.0
NKS,16X16 KASSA STERIL 16X16,PCS,1000,2702700.0
NKST,16X16 KASSA STERIL 16X16,BOX,16,107580.0
NKST,16X16 KASSA STERIL 16X16,PAK,115,1150000.0
OME40MGINJ,OMEPRAZOLE SODIUM MONOHYDRATE 40mg SERBUK INJ,BOX,60,9990000.0
OME40MGINJ,OMEPRAZOLE SODIUM MONOHYDRATE 40mg SERBUK INJ,VIAL,2050,41014800.0
ONDAN4,- Inj Ondansetron 4mg Injeksi,AMPUL,1119,3874400.0
ONDAN4,- Inj Ondansetron 4mg Injeksi,BOX,5,151800.0
PIROX10,Piroxicam 10 MG Nova,BOX,1,18018.02
PIROX10,Piroxicam 10 MG Nova,TAB,500,301500.0
PTU100,Propylthiouracil 100mg (Dexa),BOX,8,672720.0
PTU100,Propylthiouracil 100mg (Dexa),TAB,2500,2745000.0
RANID-INJ,Ranitidine Injek,AMPUL,989,3176500.0
RANID-INJ,Ranitidine Injek,BOX,7,1452250.0
SIMV20,Simvastatin 20 mg,BOX,2,65800.0
SIMV20,Simvastatin 20 mg,TAB,3000,698490.0
SLBTM2,Salbutamol 2mg Tab (Berno),BOX,30,648000.0
SLBTM2,Salbutamol 2mg Tab (Berno),TAB,5000,3750000.0
TISUGT,Tissue Gulung Toilet,BUAH,150,2554050.0
TISUGT,Tissue Gulung Toilet,PAK,50,833350.0
VALS,80 VALSARTAN 80MG,BOX,1,138000.0
VALS,80 VALSARTAN 80MG,TAB,300,1740000.0
"VEN-NEB2,5","VENTOLIN NEBULES 2,5MG",BOX,2,1018000.0
"VEN-NEB2,5","VENTOLIN NEBULES 2,5MG",VIAL,30,1080000.0
