Model,Rata-rata Aktual,Rata-rata Prediksi,Rata-rata Error Absolut,Rata-rata Error Persen,Median Error Persen,Error Persen Tertinggi
Single Moving Average,272.4387755102041,290.5734693877551,493.95102040816334,590.9609191372833,72.22222222222223,66566.66666666666
Decision Tree Regression,272.4387755102041,46.11408538351509,281.74824575342126,119.70916098808988,83.1572700296736,2756.4285714285725
