Periode,Kode Item,Nama Item,Satuan Standar,Aktual,Lag_1,Lag_2,Lag_3,Lag_6,Lag_12,Rolling_Mean_3,Rolling_Max_3,Rolling_Min_3,Rolling_Mean_6,Rolling_Mean_12,Prediksi_SMA,Prediksi_Decision_Tree,Error_SMA,Error_Decision_Tree,Error_Persen_SMA,Error_Persen_Decision_Tree
2025-06,DOMPS,Domperidone 5mg/5ml Syr Bernofarm,BTL,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.052818991097923,6.0,0.9471810089020769,100.0,15.786350148367948
2025-06,IV,20G IV CHATETER NO 20G,PCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.052818991097923,0.0,5.052818991097923,,
2025-06,IV,22G IV CHATETER NO 22G,PCS,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.052818991097923,50.0,44.94718100890208,100.0,89.89436201780416
2025-06,IV,24G IV CHATETER NO 24G,PCS,50.0,50.0,0.0,0.0,0.0,0.0,16.666666666666668,50.0,0.0,8.333333333333334,4.166666666666667,16.666666666666668,5.052818991097923,33.33333333333333,44.94718100890208,66.66666666666666,89.89436201780416
2025-06,KLP-10X10,Kassa Lipat Polos 10cm x 10cm,PAK,0.0,100.0,50.0,0.0,65.0,50.0,50.0,100.0,0.0,45.833333333333336,47.083333333333336,50.0,5.052818991097923,50.0,5.052818991097923,,
2025-06,KLP-5X5,Kassa Lipat Polos 5cm x 5cm (400 pcs),PAK,14.0,10.0,0.0,0.0,10.0,0.0,3.333333333333333,10.0,0.0,12.5,9.583333333333334,3.333333333333333,5.052818991097923,10.666666666666668,8.947181008902078,76.1904761904762,63.908435777871986
2025-06,"KLP-7,5X7,5","Kassa Lipat Polos 7,5cm x 7,5cm",PAK,20.0,50.0,90.0,0.0,100.0,50.0,46.66666666666666,90.0,0.0,55.0,53.75,46.66666666666666,68.6046511627907,26.666666666666657,48.6046511627907,133.3333333333333,243.0232558139535
2025-06,KLX-R,Kassa Lipat X-Ray 10cm x 10cm,PAK,0.0,20.0,0.0,0.0,0.0,0.0,6.666666666666667,20.0,0.0,3.333333333333333,9.166666666666666,6.666666666666667,5.052818991097923,6.666666666666667,5.052818991097923,,
2025-06,LEVOTAB,LEVOPAR TAB,BOX,30.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,6.666666666666667,6.666666666666667,0.0,5.052818991097923,30.0,24.947181008902078,100.0,83.1572700296736
2025-06,LEVXC500-INF,Levofloxacin Infus 500MG/100ML,BTL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.052818991097923,0.0,5.052818991097923,,
2025-06,LGN-RTA,LUNGENE COVID-19 ANTIGEN RAPID TEST,BOX,0.0,20.0,0.0,0.0,20.0,0.0,6.666666666666667,20.0,0.0,10.0,6.666666666666667,6.666666666666667,5.052818991097923,6.666666666666667,5.052818991097923,,
2025-06,MASFP-6.5,SURGICAL GLOVE STERILE FREE POWDER 6.5 MAS,PCS,0.0,0.0,800.0,400.0,0.0,0.0,400.0,800.0,0.0,333.3333333333333,166.66666666666666,400.0,400.0,400.0,400.0,,
2025-06,MASFP-7,SURGICAL GLOVE STERILE FREE POWDER 7 MAS,PCS,0.0,0.0,800.0,400.0,0.0,0.0,400.0,800.0,0.0,333.3333333333333,166.66666666666666,400.0,400.0,400.0,400.0,,
2025-06,MASFP-7.5,SURGICAL GLOVE STERILE FREE POWDER 7.5 MAS,PCS,0.0,0.0,800.0,400.0,0.0,0.0,400.0,800.0,0.0,333.3333333333333,166.66666666666666,400.0,400.0,400.0,400.0,,
